Sum of Value,Column Labels,,,,,,ID,Longitude,Latitude,,,,,,,,,,
ASN00015666,0,416,294,710,,,ASN00004106,-21.1756,119.7497,,,,,,,,,,
ASN00017099,0,339,181,520,,,ASN00005007,-22.2406,114.0967,,,,,,,,,,
ASN00018044,0,321,139,460,,,ASN00005008,-21.1906,115.9797,,,,,,,,,,
ASN00018046,0,0,0,0,,,ASN00005017,-21.6689,115.1092,,,,,,,,,,
ASN00018137,0,0,0,0,,,ASN00005051,-21.9303,114.1256,,,,,,,,,,
ASN00022841,0,220,128,348,,,ASN00005084,-21.4606,115.0197,,,,,,,,,,
ASN00023369,0,0,0,0,,,ASN00005094,-20.875,115.4056,,,,,,,,,,
ASN00023723,0,0,0,0,,,ASN00006011,-24.8878,113.67,,,,,,,,,,
ASN00023825,0,0,0,0,,,ASN00006072,-23.0314,115.0414,,,,,,,,,,
ASN00027054,0,351,270,621,,,ASN00006099,-26.8936,115.9561,,,,,,,,,,
ASN00029139,0,360,185,545,,,ASN00006105,-25.8925,113.5772,,,,,,,,,,
ASN00030022,0,395,252,647,,,ASN00007008,-25.5067,118.7933,,,,,,,,,,
ASN00031037,0,347,276,623,,,ASN00007045,-26.6136,118.5372,,,,,,,,,,
ASN00032162,0,0,0,0,,,ASN00007081,-28.8928,117.1333,,,,,,,,,,
ASN00033195,90,313,220,623,,,ASN00007139,-29.2708,117.6836,,,,,,,,,,
ASN00035242,410,0,0,410,,,ASN00007176,-23.4169,119.7989,,,,,,,,,,
ASN00039067,552,0,0,552,,,ASN00007185,-23.1725,117.7494,,,,,,,,,,
ASN00039104,130,296,215,641,,,ASN00007600,-28.1156,117.8425,,,,,,,,,,
ASN00039340,0,0,0,0,,,ASN00008050,-28.7769,114.605,,,,,,,,,,
ASN00040717,116,256,233,605,,,ASN00008095,-28.5367,115.5142,,,,,,,,,,
ASN00040881,200,0,0,200,,,ASN00008100,-28.3456,114.6367,,,,,,,,,,
ASN00040893,220,0,0,220,,,ASN00008137,-30.8917,116.7186,,,,,,,,,,
ASN00040969,230,0,0,230,,,ASN00008202,-30.6219,116.3794,,,,,,,,,,
ASN00043006,350,0,0,350,,,ASN00008237,-28.6857,115.2806,,,,,,,,,,
ASN00047016,0,0,138,138,,,ASN00008251,-27.7119,114.165,,,,,,,,,,
ASN00048237,0,386,207,593,,,ASN00008286,-28.275,114.6761,,,,,,,,,,
ASN00055024,252,336,190,778,,,ASN00008296,-29.2039,116.0247,,,,,,,,,,
ASN00055321,0,0,0,0,,,ASN00008297,-30.2761,116.6714,,,,,,,,,,
ASN00055322,0,0,0,0,,,ASN00008298,-28.7597,114.937,,,,,,,,,,
ASN00055325,0,330,185,515,,,ASN00008299,-29.1103,115.3173,,,,,,,,,,
ASN00055335,4,0,0,4,,,ASN00008300,-29.0692,115.0915,,,,,,,,,,
ASN00055336,0,0,0,0,,,ASN00008304,-28.9571,114.9492,,,,,,,,,,
ASN00056006,38,0,0,38,,,ASN00008307,-28.89,115.4397,,,,,,,,,,
ASN00056034,0,0,0,0,,,ASN00008308,-28.8,115.76,,,,,,,,,,
ASN00056037,0,251,152,403,,,ASN00008309,-29.3,115.6597,,,,,,,,,,
ASN00056038,92,0,0,92,,,ASN00008310,-29.0291,115.5548,,,,,,,,,,
ASN00056202,46,0,0,46,,,ASN00009021,-31.9275,115.9764,,,,,,,,,,
ASN00058077,54,282,200,536,,,ASN00009023,-32.3342,116.0755,,,,,,,,,,
ASN00058080,1456,0,0,1456,,,ASN00009037,-30.3381,115.5394,,,,,,,,,,
